ts_recv,instrument_id,raw_symbol,underlying,instrument_class,expiration,strike_price
2025-09-22 10:30:00.494454868+00:00,16777220,AAPL  251219C00095000,AAPL,C,2025-12-19,95.0
2025-09-22 10:30:00.505646616+00:00,16777221,AAPL  251219P00250000,AAPL,P,2025-12-19,250.0
2025-09-22 10:30:00.505656647+00:00,16777222,AAPL  251219P00115000,AAPL,P,2025-12-19,115.0
2025-09-22 10:30:00.507967002+00:00,16777223,AAPL  251219P00160000,AAPL,P,2025-12-19,160.0
2025-09-22 10:30:00.507988034+00:00,16777224,AAPL  251219P00100000,AAPL,P,2025-12-19,100.0
2025-09-22 10:30:00.515669607+00:00,16777225,AAPL  251219C00210000,AAPL,C,2025-12-19,210.0
2025-09-22 10:30:00.515681143+00:00,16777226,AAPL  251219P00260000,AAPL,P,2025-12-19,260.0
2025-09-22 10:30:00.517999954+00:00,16777227,AAPL  251219C00180000,AAPL,C,2025-12-19,180.0
2025-09-22 10:30:00.518015835+00:00,16777228,AAPL  251219C00310000,AAPL,C,2025-12-19,310.0
2025-09-22 10:30:00.521935200+00:00,33554440,AAPL  260116C00050000,AAPL,C,2026-01-16,50.0
2025-09-22 10:30:00.531954204+00:00,33554443,AAPL  260116C00095000,AAPL,C,2026-01-16,95.0
2025-09-22 10:30:00.531959357+00:00,33554444,AAPL  260116C00285000,AAPL,C,2026-01-16,285.0
2025-09-22 10:30:00.539286674+00:00,33554446,AAPL  260116C00225000,AAPL,C,2026-01-16,225.0
2025-09-22 10:30:00.541978269+00:00,33554447,AAPL  260116C00175000,AAPL,C,2026-01-16,175.0
2025-09-22 10:30:00.545756892+00:00,16777238,AAPL  251219C00350000,AAPL,C,2025-12-19,350.0
2025-09-22 10:30:00.548106979+00:00,16777240,AAPL  251219C00040000,AAPL,C,2025-12-19,40.0
2025-09-22 10:30:00.549306445+00:00,33554449,AAPL  260116P00050000,AAPL,P,2026-01-16,50.0
2025-09-22 10:30:00.549310773+00:00,33554450,AAPL  260116C00265000,AAPL,C,2026-01-16,265.0
2025-09-22 10:30:00.555769960+00:00,16777241,AAPL  251219P00005000,AAPL,P,2025-12-19,5.0
2025-09-22 10:30:00.559329077+00:00,33554453,AAPL  260116C00195000,AAPL,C,2026-01-16,195.0
2025-09-22 10:30:00.561113330+00:00,16777246,AAPL  251219C00080000,AAPL,C,2025-12-19,80.0
2025-09-22 10:30:00.574209977+00:00,16777251,AAPL  251219P00145000,AAPL,P,2025-12-19,145.0
2025-09-22 10:30:00.574219739+00:00,16777252,AAPL  251219C00240000,AAPL,C,2025-12-19,240.0
2025-09-22 10:30:00.575518420+00:00,33554466,AAPL  260116C00215000,AAPL,C,2026-01-16,215.0
2025-09-22 10:30:00.575543610+00:00,33554467,AAPL  260116P00110000,AAPL,P,2026-01-16,110.0
2025-09-22 10:30:00.575553375+00:00,33554468,AAPL  260116P00260000,AAPL,P,2026-01-16,260.0
2025-09-22 10:30:00.575582585+00:00,33554469,AAPL  260116P00165000,AAPL,P,2026-01-16,165.0
2025-09-22 10:30:00.575593486+00:00,33554470,AAPL  260116P00155000,AAPL,P,2026-01-16,155.0
2025-09-22 10:30:00.576130851+00:00,16777255,AAPL  251219C00065000,AAPL,C,2025-12-19,65.0
2025-09-22 10:30:00.576139990+00:00,16777256,AAPL  251219P00130000,AAPL,P,2025-12-19,130.0
2025-09-22 10:30:00.584238787+00:00,16777259,AAPL  251219C00200000,AAPL,C,2025-12-19,200.0
