ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_pb_00,ask_pb_00,symbol
2025-09-22 13:30:00+00:00,2025-09-22 13:29:59.400908850+00:00,192,93,38,N,248.3,300,128,248.3,248.31,100,25,81,81,AAPL
2025-09-22 13:30:01+00:00,2025-09-22 13:30:00.952562830+00:00,192,93,38,N,248.292,1,128,248.19,248.28,72,50,81,81,AAPL
2025-09-22 13:30:02+00:00,2025-09-22 13:30:01.995015174+00:00,192,93,38,N,248.44,1,128,248.42,248.5,1220,511,81,81,AAPL
2025-09-22 13:30:03+00:00,2025-09-22 13:30:02.999328398+00:00,192,93,38,N,248.17,1,128,248.74,248.83,420,300,81,81,AAPL
2025-09-22 13:30:04+00:00,2025-09-22 13:30:03.999530048+00:00,192,93,38,N,248.17,1,128,248.63,248.7,1540,306,81,81,AAPL
2025-09-22 13:30:05+00:00,2025-09-22 13:30:04.998993910+00:00,192,93,38,N,249.02,100,128,249.01,249.02,100,1900,81,81,AAPL
2025-09-22 13:30:06+00:00,2025-09-22 13:30:05.994599462+00:00,192,93,38,N,249.2,32,128,249.1,249.2,732,318,81,81,AAPL
2025-09-22 13:30:07+00:00,2025-09-22 13:30:06.999721834+00:00,192,93,38,N,248.17,1,128,249.24,249.32,600,1106,81,81,AAPL
2025-09-22 13:30:08+00:00,2025-09-22 13:30:07.999542902+00:00,192,93,38,N,248.17,1,128,249.38,249.41,110,371,81,81,AAPL
2025-09-22 13:30:09+00:00,2025-09-22 13:30:08.999751452+00:00,192,93,38,N,248.17,1,128,249.17,249.24,14,425,81,81,AAPL
2025-09-22 13:30:10+00:00,2025-09-22 13:30:09.999643299+00:00,192,93,38,N,248.17,1,128,249.22,249.29,171,35,81,81,AAPL
2025-09-22 13:30:11+00:00,2025-09-22 13:30:10.999750752+00:00,192,93,38,N,248.8765,1,128,249.12,249.19,230,300,81,81,AAPL
2025-09-22 13:30:12+00:00,2025-09-22 13:30:11.994878740+00:00,192,93,38,N,249.1395,1,128,249.06,249.09,203,400,81,81,AAPL
2025-09-22 13:30:13+00:00,2025-09-22 13:30:12.955336085+00:00,192,93,38,N,249.25,1,128,248.9,248.97,25,400,81,81,AAPL
2025-09-22 13:30:14+00:00,2025-09-22 13:30:13.997946042+00:00,192,93,38,N,248.8717,1,128,248.81,248.89,100,306,81,81,AAPL
2025-09-22 13:30:15+00:00,2025-09-22 13:30:14.913945061+00:00,192,93,38,N,248.965,100,128,248.89,248.97,300,200,81,81,AAPL
2025-09-22 13:30:16+00:00,2025-09-22 13:30:15.973547382+00:00,192,93,38,N,249.12,2,128,249.07,249.17,125,428,81,81,AAPL
2025-09-22 13:30:17+00:00,2025-09-22 13:30:16.991870016+00:00,192,93,38,N,248.921,10,128,248.92,248.98,100,710,81,81,AAPL
2025-09-22 13:30:18+00:00,2025-09-22 13:30:17.986603664+00:00,192,93,38,N,248.885,100,128,248.87,248.9,100,271,81,81,AAPL
2025-09-22 13:30:19+00:00,2025-09-22 13:30:18.997938624+00:00,192,93,38,N,248.895,30,128,248.86,248.93,125,300,81,81,AAPL
2025-09-22 13:30:20+00:00,2025-09-22 13:30:19.970347975+00:00,192,93,38,N,248.775,150,128,248.74,248.81,300,225,81,81,AAPL
2025-09-22 13:30:21+00:00,2025-09-22 13:30:20.995908491+00:00,192,93,38,N,248.17,1,128,248.85,248.92,222,297,81,81,AAPL
2025-09-22 13:30:22+00:00,2025-09-22 13:30:21.997898470+00:00,192,93,38,N,248.75,100,128,248.7,248.76,390,110,81,81,AAPL
2025-09-22 13:30:23+00:00,2025-09-22 13:30:22.980670971+00:00,192,93,38,N,248.76,4,128,248.74,248.78,600,400,81,81,AAPL
2025-09-22 13:30:24+00:00,2025-09-22 13:30:23.994624310+00:00,192,93,38,N,248.84,30,128,248.82,248.86,30,196,81,81,AAPL
2025-09-22 13:30:25+00:00,2025-09-22 13:30:24.977779606+00:00,192,93,38,N,248.99,6,128,248.95,249.0,300,218,81,81,AAPL
2025-09-22 13:30:26+00:00,2025-09-22 13:30:25.976990976+00:00,192,93,38,N,249.06,9,128,249.01,249.06,400,200,81,81,AAPL
2025-09-22 13:30:27+00:00,2025-09-22 13:30:26.978721277+00:00,192,93,38,N,248.17,1,128,249.07,249.14,200,576,81,81,AAPL
2025-09-22 13:30:28+00:00,2025-09-22 13:30:27.986350523+00:00,192,93,38,N,249.165,100,128,249.14,249.19,100,583,81,81,AAPL
2025-09-22 13:30:29+00:00,2025-09-22 13:30:28.905139752+00:00,192,93,38,N,249.225,1,128,249.2,249.25,300,257,81,81,AAPL
2025-09-22 13:30:30+00:00,2025-09-22 13:30:29.998069308+00:00,192,93,38,N,249.225,50,128,249.2,249.25,275,222,81,81,AAPL
2025-09-22 13:30:31+00:00,2025-09-22 13:30:30.954855991+00:00,192,93,38,N,249.36,100,128,249.22,249.3,1524,500,81,81,AAPL
2025-09-22 13:30:32+00:00,2025-09-22 13:30:31.980497688+00:00,192,93,38,N,249.22,96,128,249.21,249.25,200,200,81,81,AAPL
2025-09-22 13:30:33+00:00,2025-09-22 13:30:32.998116074+00:00,192,93,38,N,249.365,500,128,249.31,249.41,225,389,81,81,AAPL
2025-09-22 13:30:34+00:00,2025-09-22 13:30:33.957762779+00:00,192,93,38,N,249.205,25,128,249.2,249.25,418,320,81,81,AAPL
2025-09-22 13:30:35+00:00,2025-09-22 13:30:34.990547219+00:00,192,93,38,N,249.31,30,128,249.26,249.32,200,125,81,81,AAPL
2025-09-22 13:30:36+00:00,2025-09-22 13:30:35.984658172+00:00,192,93,38,N,249.36,15,128,249.36,249.4,410,117,81,81,AAPL
2025-09-22 13:30:37+00:00,2025-09-22 13:30:36.981064911+00:00,192,93,38,N,249.22,10,128,249.19,249.24,165,500,81,81,AAPL
2025-09-22 13:30:38+00:00,2025-09-22 13:30:37.991083996+00:00,192,93,38,N,249.195,100,128,249.17,249.22,325,200,81,81,AAPL
2025-09-22 13:30:39+00:00,2025-09-22 13:30:38.999297554+00:00,192,93,38,N,249.2,25,128,249.17,249.21,300,25,81,81,AAPL
2025-09-22 13:30:40+00:00,2025-09-22 13:30:39.951653041+00:00,192,93,38,N,249.315,15,128,249.29,249.34,308,133,81,81,AAPL
2025-09-22 13:30:41+00:00,2025-09-22 13:30:40.995442145+00:00,192,93,38,N,249.49,10,128,249.43,249.49,476,743,81,81,AAPL
2025-09-22 13:30:42+00:00,2025-09-22 13:30:41.989216274+00:00,192,93,38,N,249.3901,100,128,249.39,249.43,200,200,81,81,AAPL
2025-09-22 13:30:43+00:00,2025-09-22 13:30:42.950757180+00:00,192,93,38,N,249.1675,200,128,249.19,249.28,492,153,81,81,AAPL
2025-09-22 13:30:44+00:00,2025-09-22 13:30:43.996081784+00:00,192,93,38,N,249.27,400,128,249.21,249.27,280,300,81,81,AAPL
2025-09-22 13:30:45+00:00,2025-09-22 13:30:44.957899101+00:00,192,93,38,N,249.33,1,128,249.33,249.41,400,1119,81,81,AAPL
2025-09-22 13:30:46+00:00,2025-09-22 13:30:45.944678064+00:00,192,93,38,N,248.17,1,128,249.36,249.42,64,225,81,81,AAPL
2025-09-22 13:30:47+00:00,2025-09-22 13:30:46.972588956+00:00,192,93,38,N,249.325,1,128,249.28,249.36,51,146,81,81,AAPL
2025-09-22 13:30:48+00:00,2025-09-22 13:30:47.957775127+00:00,192,93,38,N,249.431,40,128,249.41,249.49,350,183,81,81,AAPL
2025-09-22 13:30:49+00:00,2025-09-22 13:30:48.960091435+00:00,192,93,38,N,249.43,2,128,249.36,249.44,175,300,81,81,AAPL
2025-09-22 13:30:50+00:00,2025-09-22 13:30:49.929606359+00:00,192,93,38,N,249.4,53,128,249.36,249.43,225,300,81,81,AAPL
2025-09-22 13:30:51+00:00,2025-09-22 13:30:50.990467145+00:00,192,93,38,N,249.49,1,128,249.47,249.53,25,875,81,81,AAPL
2025-09-22 13:30:52+00:00,2025-09-22 13:30:51.950995108+00:00,192,93,38,N,249.38,10,128,249.35,249.39,300,300,81,81,AAPL
2025-09-22 13:30:53+00:00,2025-09-22 13:30:52.996609184+00:00,192,93,38,N,249.38,66,128,249.36,249.39,25,500,81,81,AAPL
2025-09-22 13:30:54+00:00,2025-09-22 13:30:53.972743443+00:00,192,93,38,N,249.3185,50,128,249.28,249.32,500,59,81,81,AAPL
2025-09-22 13:30:55+00:00,2025-09-22 13:30:54.970464984+00:00,192,93,38,N,248.17,1,128,249.32,249.37,233,300,81,81,AAPL
2025-09-22 13:30:56+00:00,2025-09-22 13:30:55.979580292+00:00,192,93,38,N,249.4147,2,128,249.4,249.46,200,915,81,81,AAPL
2025-09-22 13:30:57+00:00,2025-09-22 13:30:56.993742968+00:00,192,93,38,N,249.405,1,128,249.38,249.43,301,179,81,81,AAPL
2025-09-22 13:30:58+00:00,2025-09-22 13:30:57.986666901+00:00,192,93,38,N,249.425,1,128,249.4,249.45,200,555,81,81,AAPL
2025-09-22 13:30:59+00:00,2025-09-22 13:30:58.996963687+00:00,192,93,38,N,249.455,200,128,249.44,249.46,1884,210,81,81,AAPL
